"child_id","child_gender","child_age_rounded","age_days","age","condition","counterbalance","attn1","attn2","test","attn3","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","coding_experience","smartphone_frequency","smart_speaker_frequency","voice_assistant_frequency","pass_attn1","pass_attn2","pass_attn3","pass_all_attn","chose_song_1","age_months","floor_age","va_daily","ss_daily","multiSSexperience"
NA,NA,NA,4876,13.3497604380561,"AI",4,"wheels","spider","spider",1,0,0,0,0,6,"coding class at school","Several times a day","About once a day",NA,1,1,1,1,0,160.305092546931,13,NA,TRUE,TRUE
"4BAHDN","m",3780,3765,10.3080082135524,"Person",3,"spider","wheels","spider",1,1,1,1,1,1,"after school programs or camps related to coding","About once a day","About once a day","About once a day",1,1,1,1,1,123.779465430516,10,TRUE,TRUE,FALSE
"4d2CPG","m",3000,3000,8.2135523613963,"AI",1,"spider","wheels","wheels",1,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Never","About once a day",1,1,1,1,0,98.6290561199329,8,TRUE,FALSE,FALSE
"4dR3DM","f",1530,1520,4.16153319644079,"Person",4,"wheels","spider","spider",1,0,0,0,0,1,"no experience with coding","About once a week","Several times a day","Several times a day",1,1,1,1,0,49.972055100766,4,TRUE,TRUE,FALSE
"4HBDTF","m",3840,3831,10.4887063655031,"Person",4,"wheels","spider","wheels",1,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Several times a day",NA,1,1,1,1,1,125.949304665154,10,NA,TRUE,TRUE
NA,NA,NA,2816,7.709787816564,"Person",3,"spider","wheels","spider",1,1,1,1,1,0,"after school programs or camps related to coding","Several times a day",NA,NA,1,1,1,1,1,92.579807344577,7,NA,NA,FALSE
"4Lc7HB","m",1110,1098,3.00616016427105,"AI",1,"spider","wheels","spider",1,0,0,0,0,1,"no experience with coding","About once a week","About once a day","About once a day",1,1,1,1,1,36.0982345398955,3,TRUE,TRUE,FALSE
"4NJCTY","m",1590,1579,4.32306639288159,"Person",2,"wheels","spider","wheels",1,1,0,0,0.333333333333333,NA,"no experience with coding","About once a week","Several times a day","Several times a day",1,1,1,1,1,51.9117598711247,4,TRUE,TRUE,NA
"4P2QUV","m",1860,1868,5.11430527036276,"Person",4,"wheels","spider","wheels",1,1,1,1,1,0,"no experience with coding","About once a day","Never","Never",1,1,1,1,1,61.4130256106782,5,FALSE,FALSE,FALSE
"4QcY5E","f",2070,2058,5.63449691991786,"AI",4,"wheels","spider","wheels",1,1,0,0,0.333333333333333,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Never","About once a day",1,1,1,1,1,67.659532498274,5,TRUE,FALSE,FALSE
"4URBHK","f",5070,5072,13.886379192334,"AI",2,"wheels","spider","wheels",1,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Less than once a week",NA,1,1,1,1,1,166.748857546767,13,NA,FALSE,FALSE
"4UTJ5C","f",4650,4646,12.7200547570157,"AI",2,"wheels","spider","spider",1,1,1,1,1,0,"after school programs or camps related to coding","Several times a day","Less than once a week","About once a week",1,1,1,1,0,152.743531577736,12,FALSE,FALSE,FALSE
"4VCRcA","f",2520,2535,6.94045174537988,"Person",2,"wheels","spider","wheels",1,1,1,0,0.666666666666667,2,"no experience with coding","Never","Never","Never",1,1,1,1,1,83.3415524213433,6,FALSE,FALSE,TRUE
"4VHdUK","m",5040,5030,13.7713894592745,"AI",4,"wheels","spider","wheels",1,1,1,1,1,0,"no experience with coding","Several times a day","Never","Never",1,1,1,1,1,165.368050761088,13,FALSE,FALSE,FALSE
"4XE3KX","f",3600,3592,9.83436002737851,"Person",3,"spider","wheels","spider",1,1,1,1,1,3,"after school programs or camps related to coding","About once a week","Several times a day","Several times a day",1,1,1,1,1,118.0918565276,9,TRUE,TRUE,TRUE
"543XTU","m",5280,5265,14.4147843942505,"AI",2,"wheels","spider","spider",1,1,1,1,1,3,"coding class at school","Several times a day","About once a day","About once a day",1,1,1,1,0,173.093993490482,14,TRUE,TRUE,TRUE
