id,redcap,version,consent_level,english_all_or_most_or_first_lang_or_school,usable,usable_age,testing_date,video_quality,audio_quality,age,floor_age,gender,condition,counterbalance,first_room,first_song,song1_mem_check,song2_mem_check,test_q,test_q_explanation,P_hear_S,P_see_S,S_see_P,carrie_diverse_desires,rachel_prediction_implicit_false_belief,joe_diverse_beliefs,diana_prediction_false_belief_location,diana_explanation_false_belief_location,diana_control_false_belief_location,allie_predicition_false_belief_location,allie_explanation_false_belief_location,allie_control_emotion,allie_prediction_moral_reasoning_false_belief,allie_explanation_moral_reasoning_false_belief,allie_prediction2_moral_reasoning_false_belief,allie_explanation2_moral_reasoning_false_belief,tom_fb_only,tom_fb_control,tom_fb_with_exp_control,tom_no_why,tom_no_moral,tom_no_why_no_moral,tom,VA_experience,SS_experience,va_type,number_of_SS_in_home,notes
AlexaEmbodiment_220502_176_AD,od304,1,1,1,1,1,5/2/22,5,5,11.34,11,F,VUI,1,office,spider,1,1,spider,because thats what he said was his favorite song to that paisia ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,1,similarly demonstrated understanding of how communication between smart speakers operates but still said that in the game they were not connected but could not defend why she thought that
AlexaEmbodiment_220503_177_AD,oc777,1,1,1,1,1,5/3/22,5,5,9.8,9,M,VUI,2,office,wheels,1,1,spider,because i think if you unscrew the top of it it would be the same paisia ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,Siri on the ipad,1,one amazon home in the living room 
AlexaEmbodiment_220503_178_AD,od342,1,1,1,1,0,5/3/22,5,4,14.4,14,F,VUI,1,office,spider,1,1,wheels,because thats his favorite song,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,0,siri on phone sometimes,0,"responded ""correctly"" but very quickly and didnt elaborate and said she doesnt have smart spearker experience. also is 14 so not relevant specifically for our study"
AlexaEmbodiment_220503_179_AD,oc967,1,1,1,1,1,5/3/22,5,5,9.3,9,M,VUI,4,kitchen,wheels,1,1,wheels,because he said it to this first paisia ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,google assistant,4,"one in his room, master bedroom, office, kitchen. the kid was super polite and respectful and upbeat! "
AlexaEmbodiment_220503_180_AD,od695,1,1,1,1,1,5/3/22,5,5,10.55,10,M,VUI,4,kitchen,wheels,1,1,wheels,because he told paisia that it was his favorite song ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri ,3,"one in his room, brothers room, office"
AlexaEmbodiment_220505_181_AD,od728,1,1,1,1,1,5/5/22,5,5,11.64,11,M,Person,4,kitchen,wheels,1,1,wheels,because she knows his favorite song is the wheels on the bus,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,0,"siri on ipad, google assistant",0,
AlexaEmbodiment_220505_182_AD,od330,1,1,1,1,1,5/5/22,5,5,10.81,10,F,VUI,4,kitchen,wheels,1,1,wheels,because he told this paisia that his favorite song was the wheels on the bus ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,3,"amazon echo in her room, google home in living room and in moms room "
AlexaEmbodiment_220509_183_AD,od290,1,3,1,1,1,5/9/22,5,5,11.31,11,F,Person,1,office,spider,1,1,spider,because thats what he told that paisia was his favorite song,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,0,siri on ipad,0,doesnt have one in their house talks to google home in grandmas house a lot 
AlexaEmbodiment_220509_184_AD,od746,1,3,1,1,1,5/9/22,5,5,10.82,10,F,Person,1,office,spider,1,1,spider,because thats his favorite song,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,0,siri on ipad,0,
AlexaEmbodiment_220509_185_AD,oc651,1,1,1,1,1,5/9/22,5,5,9.4,9,M,VUI,3,kitchen,spider,1,1,spider,because earlier scotty told paisia that this was his favorite song,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,0,NA,1,says there is one in his moms room but he doesnt talk to it ever. also demonstrated the understanding of smart speakers having a shared mental state but assumed that these specific devices were not sharing information because they were different shapes 
