child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
ADcDUM,AI,3,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1,m
JKQG2U,person,3,spider,wheels,spider,1,1,1,1,1.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a week,About once a day,1,1,1,1,1,f
QZ77BB,person,1,spider,wheels,wheels,1,1,1,0,0.0,no experience with coding,About once a week,Never,Never,1,1,1,1,0,m
223QZT,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a day,Several times a day,About once a day,1,1,1,1,1,f
K7R7CV,AI,2,wheels,0,0,0,0,0,0,,,,,,1,0,0,0,0,f
2dBUQX,AI,2,wheels,spider,spider,1,1,1,1,,,Several times a day,About once a week,About once a day,1,1,1,1,0,f
EcQK3N,AI,2,wheels,spider,wheels,1,1,1,0,1.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
QE3QBc,AI,4,wheels,spider,wheels,1,1,1,1,2.0,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
UPcFPQ,AI,2,wheels,spider,wheels,1,0,1,0,1.0,no experience with coding,Several times a day,Less than once a week,,1,1,1,1,1,f
6RYcKQ,AI,2,wheels,spider,spider,1,1,1,0,0.0,no experience with coding,Several times a day,,Never,1,1,1,1,0,f
KdTKRC,person,1,spider,wheels,spider,1,1,1,1,1.0,coding class at school,Several times a day,Less than once a week,Several times a day,1,1,1,1,1,m
LZWTJC,AI,2,wheels,spider,spider,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,0,m
3EXKKV,person,2,wheels,spider,wheels,0,1,1,1,1.0,coding class at school,Several times a day,About once a day,Several times a day,1,1,0,0,1,m
LKKFPd,AI,1,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Several times a day,,About once a day,1,1,1,1,1,f
LXRCcF,person,3,spider,wheels,wheels,1,0,0,0,1.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
U2YQXC,person,2,wheels,spider,wheels,1,1,1,1,0.0,"coding class at school,after school programs or camps related to coding",About once a day,,,1,1,1,1,1,m
6WDXTc,person,2,wheels,spider,wheels,1,1,1,1,2.0,,About once a day,About once a day,About once a day,1,1,1,1,1,m
NZcKZR,AI,4,wheels,spider,wheels,1,1,1,1,2.0,,Several times a day,About once a day,Several times a day,1,1,1,1,1,m
6LXAJD,AI,2,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,,1,1,1,1,1,f
H3HBTJ,AI,2,wheels,spider,wheels,0,1,1,1,3.0,no experience with coding,Never,Never,Never,1,1,0,0,1,f
VMHNQA,person,4,wheels,spider,wheels,1,1,1,1,4.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a week,Less than once a week,1,1,1,1,1,f
J4S4Nd,person,3,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1,f
AVEH25,person,1,spider,wheels,spider,1,1,1,1,,,About once a day,About once a day,About once a day,1,1,1,1,1,f
SCHcHE,AI,2,wheels,spider,wheels,1,1,1,1,2.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,About once a day,1,1,1,1,1,m
cFCZPK,person,1,spider,wheels,spider,1,1,1,1,0.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1,m
WQGT5Y,AI,1,spider,wheels,wheels,1,0,0,0,0.0,no experience with coding,About once a week,Never,Never,1,1,1,1,0,m
RKKSJM,person,3,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1,f
3NJBME,person,4,wheels,spider,wheels,1,1,1,1,,,About once a day,,Several times a day,1,1,1,1,1,m
Q4EEd6,AI,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,About once a week,Less than once a week,1,1,1,1,1,f
7YdT45,person,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,,,1,1,1,1,1,f
