child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
J6GS2X,person,4,wheels,spider,wheels,1,1,1,1,5.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
RCAU4S,AI,2,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
QMLL2R,person,3,spider,wheels,wheels,1,1,1,1,2.0,no experience with coding,Less than once a week,Less than once a week,Never,1,1,1,1,0,m
RL56d4,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,Never,About once a week,1,1,1,1,1,m
543XTU,AI,2,wheels,spider,spider,1,1,1,1,3.0,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,0,m
YPNJKP,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1,f
V3dN5D,person,4,wheels,spider,wheels,1,1,1,1,4.0,after school programs or camps related to coding,Several times a day,About once a day,About once a day,1,1,1,1,1,m
XQc656,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,m
BC76CA,person,2,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,m
RTVEE7,person,3,spider,wheels,wheels,1,0,0,0,0.0,no experience with coding,About once a day,,,1,1,1,1,0,m
AS4P67,AI,3,spider,wheels,spider,1,0,0,0,2.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Less than once a week,1,1,1,1,1,f
75ZW26,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,m
P3MYF5,AI,1,spider,wheels,spider,1,1,1,0,0.0,no experience with coding,About once a week,,Less than once a week,1,1,1,1,1,f
E5VGcY,person,4,wheels,spider,wheels,1,1,1,1,0.0,coding class at school,Several times a day,Never,Several times a day,1,1,1,1,1,f
LRAUYL,person,3,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,f
YKVL6Y,person,4,wheels,spider,wheels,1,1,1,1,3.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,Less than once a week,1,1,1,1,1,m
4JccdB,person,3,spider,wheels,spider,1,1,1,1,0.0,after school programs or camps related to coding,Several times a day,,Less than once a week,1,1,1,1,1,m
SEAHSd,person,3,spider,wheels,wheels,0,0,1,0,,,About once a day,,Less than once a week,1,1,0,0,0,m
AVEH25,AI,4,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,Several times a day,About once a week,Less than once a week,1,1,1,1,1,f
XAVQXc,person,1,spider,wheels,wheels,1,0,0,1,1.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,0,f
PU2VcV,person,1,spider,wheels,spider,1,1,1,1,,,About once a day,Less than once a week,Less than once a week,1,1,1,1,1,o
ZPHDLT,person,3,spider,wheels,spider,1,1,1,0,,,Several times a day,About once a week,Several times a day,1,1,1,1,1,
QRZ4QE,person,2,wheels,spider,spider,1,1,1,1,1.0,no experience with coding,About once a day,Never,Never,1,1,1,1,0,f
KRLDTE,AI,4,wheels,spider,wheels,1,1,1,1,,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Less than once a week,1,1,1,1,1,m
P2JCDF,person,1,spider,wheels,spider,1,0,1,1,,no experience with coding,,,,1,1,1,1,1,m
3QARD5,person,3,wheels,twinkle,wheels,1,0,1,1,0.0,no experience with coding,About once a day,Never,Never,0,0,1,0,0,m
5MGCBZ,AI,2,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,About once a day,,About once a day,1,1,1,1,1,m
6c4MZT,person,2,wheels,spider,wheels,1,1,1,1,4.0,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,f
CR3XRZ,person,4,wheels,spider,wheels,1,1,0,0,3.0,,Several times a day,Several times a day,Several times a day,1,1,1,1,1,
cKNVRc,AI,3,spider,wheels,spider,1,1,1,1,3.0,no experience with coding,About once a day,About once a week,About once a week,1,1,1,1,1,f
YHGER6,person,4,wheels,spider,wheels,1,1,1,1,0.0,coding class at school,Several times a day,,Several times a day,1,1,1,1,1,f
FQNNUZ,AI,3,spider,wheels,spider,1,1,1,1,4.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
Z6JWFD,AI,4,wheels,spider,wheels,1,0,0,0,,no experience with coding,About once a day,,,1,1,1,1,1,m
XNAGCD,person,3,spider,wheels,spider,1,0,0,0,2.0,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1,f
6S42XL,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,
FJZ4BR,person,4,wheels,spider,wheels,1,1,1,1,6.0,coding class at school,Several times a day,Several times a day,About once a day,1,1,1,1,1,m
2ZPdLJ,person,3,spider,wheels,wheels,1,0,0,0,0.0,no experience with coding,Several times a day,Never,Never,1,1,1,1,0,f
3G522Y,AI,4,wheels,spider,wheels,1,1,1,1,,,,,,1,1,1,1,1,f
QEBWAV,AI,3,spider,wheels,0,0,0,0,0,,,,,,1,1,0,0,0,
SDF2YR,AI,4,wheels,twinkle,spider,1,0,0,0,2.0,no experience with coding,About once a day,Several times a day,Several times a day,1,0,1,0,0,m
3ADQJK,person,3,spider,wheels,spider,1,0,0,0,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,m
2ZBH3d,person,3,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,Less than once a week,1,1,1,1,1,f
J6GS2X,person,4,wheels,spider,wheels,1,1,1,1,5.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
UPTL7Y,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a week,Several times a day,Never,1,1,1,1,1,m
Yd7WPT,AI,4,wheels,spider,spider,1,1,1,1,3.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
NX5FLF,AI,1,spider,wheels,spider,0,0,1,1,4.0,no experience with coding,About once a day,Less than once a week,Less than once a week,1,1,0,0,1,f
THHUXY,person,4,wheels,spider,wheels,1,1,0,1,1.0,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1,f
LKJRX3,AI,3,spider,wheels,spider,1,1,1,1,0.0,coding class at school,Several times a day,,About once a week,1,1,1,1,1,f
PcR4BM,AI,3,spider,wheels,spider,1,1,1,1,3.0,no experience with coding,About once a day,,Several times a day,1,1,1,1,1,m
CcXK5V,person,1,spider,wheels,spider,1,1,1,1,4.0,"coding class at school,after school programs or camps related to coding",Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
36TYFV,AI,2,wheels,spider,spider,1,1,1,1,2.0,coding class at school,About once a day,About once a week,About once a week,1,1,1,1,0,f
AVEH25,AI,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,Less than once a week,Less than once a week,1,1,1,1,1,f
VGGS3V,person,2,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,,Less than once a week,1,1,1,1,1,m
5Hd5XN,person,1,spider,wheels,spider,0,0,0,1,0.0,coding class at school,About once a day,Never,Never,1,1,0,0,1,m
JE64ZK,person,1,spider,wheels,spider,1,1,1,1,2.0,after school programs or camps related to coding,Several times a day,About once a week,About once a week,1,1,1,1,1,m
3STC7T,person,1,spider,wheels,spider,1,0,0,0,2.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,f
6VN3FP,AI,4,wheels,spider,spider,1,0,0,1,0.0,coding class at school,Several times a day,,,1,1,1,1,0,m
Z6D7dB,person,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,About once a week,,,1,1,1,1,1,f
KPRDT6,person,1,spider,wheels,spider,1,1,1,1,0.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Never,1,1,1,1,1,m
4dR3DM,person,4,wheels,spider,spider,1,0,0,0,1.0,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,0,f
GQYEcF,person,3,spider,wheels,spider,1,1,1,1,,no experience with coding,About once a day,,,1,1,1,1,1,f
TDYH5c,person,4,wheels,spider,wheels,1,1,1,1,0.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1,f
UAPd65,AI,2,wheels,spider,wheels,1,0,1,1,6.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,m
W575AK,AI,4,wheels,spider,wheels,1,1,1,1,2.0,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,f
c53NTX,person,1,spider,wheels,spider,1,1,1,1,5.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,m
NPVQNQ,AI,4,wheels,spider,wheels,1,0,0,0,1.0,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1,m
H5HUVK,AI,1,spider,wheels,spider,1,1,1,1,,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1,f
WQU6QW,AI,3,spider,wheels,wheels,1,1,1,1,6.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,About once a day,1,1,1,1,0,f
F7J6RM,person,2,wheels,spider,wheels,1,1,1,1,,,,,,1,1,1,1,1,m
d5Ud2c,person,2,wheels,spider,spider,1,1,1,1,2.0,no experience with coding,About once a day,Less than once a week,Less than once a week,1,1,1,1,0,f
Y4MHXV,person,4,wheels,spider,wheels,1,1,1,1,,,,,,1,1,1,1,1,m
HX2GJ6,AI,3,spider,wheels,spider,1,1,1,1,3.0,after school programs or camps related to coding,About once a day,About once a day,About once a week,1,1,1,1,1,
YM2G5C,person,2,wheels,spider,spider,1,0,0,0,1.0,no experience with coding,About once a week,,,1,1,1,1,0,f
GCCDGU,person,2,twinkle,twinkle,wheels,1,0,0,1,0.0,no experience with coding,About once a week,Never,Never,0,0,1,0,1,f
FXKXTL,AI,4,wheels,spider,spider,1,1,1,1,1.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,Several times a day,1,1,1,1,0,f
M6LdNB,AI,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,Less than once a week,Less than once a week,1,1,1,1,1,m
ZFASAN,AI,3,spider,wheels,wheels,0,1,0,0,2.0,no experience with coding,About once a day,About once a week,About once a week,1,1,0,0,0,m
27NPYH,person,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,Several times a day,,Several times a day,1,1,1,1,1,f
XQJNFQ,person,4,wheels,spider,wheels,1,1,1,1,2.0,coding class at school,Never,About once a week,,1,1,1,1,1,m
dXAQG4,person,1,spider,wheels,spider,1,1,1,1,3.0,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1,m
PZ5DPJ,AI,3,spider,wheels,spider,1,0,0,0,4.0,no experience with coding,Less than once a week,About once a day,About once a day,1,1,1,1,1,f
C5HA27,AI,3,spider,wheels,spider,1,0,0,1,1.0,no experience with coding,About once a week,Several times a day,Less than once a week,1,1,1,1,1,f
SCHcHE,AI,3,spider,wheels,spider,1,1,1,1,1.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1,m
SHWDdD,AI,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,m
7W2BAS,person,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a day,Less than once a week,Less than once a week,1,1,1,1,1,f
3XcSJ2,AI,3,spider,wheels,wheels,1,1,1,1,0.0,no experience with coding,Less than once a week,,,1,1,1,1,0,f
AF6JVZ,AI,1,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Never,Never,1,1,1,1,1,m
KN4QXT,AI,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,About once a week,About once a week,Less than once a week,1,1,1,1,1,m
cG6dWL,person,4,wheels,spider,wheels,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Never,1,1,1,1,1,m
775VNH,person,3,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,m
DUJVEL,AI,3,spider,wheels,spider,1,1,1,1,1.0,coding class at school,Several times a day,About once a week,About once a week,1,1,1,1,1,m
MR5MAH,AI,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,About once a day,,Never,1,1,1,1,1,f
DZEEEQ,person,1,spider,wheels,spider,0,0,1,0,0.0,no experience with coding,Never,Never,Never,1,1,0,0,1,m
AZQZZJ,person,3,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1,f
WUBBEK,person,3,spider,wheels,spider,1,1,0,1,3.0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,m
cX2D7c,person,1,spider,wheels,spider,1,1,1,1,7.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,f
LRCNHV,person,4,wheels,spider,wheels,1,1,1,1,,,Several times a day,Never,Less than once a week,1,1,1,1,1,m
Fc7UHG,AI,1,spider,wheels,spider,1,1,1,1,1.0,coding class at school,Less than once a week,Less than once a week,Several times a day,1,1,1,1,1,m
V6JVMB,AI,2,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,Less than once a week,1,1,1,1,1,m
dJZ5QE,person,2,wheels,spider,spider,1,1,1,1,3.0,no experience with coding,Never,About once a day,Never,1,1,1,1,0,f
Ddd42B,AI,1,spider,wheels,wheels,1,1,1,1,8.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,0,m
XS57KJ,AI,4,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1,m
44WWDL,AI,1,spider,wheels,wheels,0,0,1,0,,,About once a day,,Less than once a week,1,1,0,0,0,f
dJUH64,AI,2,wheels,spider,wheels,1,1,1,1,2.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,About once a day,1,1,1,1,1,m
4VHdUK,AI,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1,m
TJAT32,person,4,wheels,spider,spider,0,0,0,1,3.0,no experience with coding,About once a week,Never,Never,1,1,0,0,0,m
d44R4W,AI,4,wheels,spider,wheels,1,1,1,1,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,,Several times a day,1,1,1,1,1,f
CJ2JZ3,person,2,wheels,spider,wheels,1,1,1,1,3.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,Less than once a week,1,1,1,1,1,m
DEH3SW,person,2,wheels,spider,wheels,1,0,0,1,2.0,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,f
F7J6RM,person,1,spider,wheels,spider,1,1,1,1,2.0,"coding class at school,after school programs or camps related to coding",Several times a day,,About once a day,1,1,1,1,1,m
T7C2LP,person,2,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1,f
WMJVGR,person,3,spider,wheels,spider,1,1,1,0,2.0,no experience with coding,Never,Less than once a week,Never,1,1,1,1,1,m
MHAFcY,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,
2RT5YX,person,1,spider,wheels,spider,1,1,1,1,5.0,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
G64NX2,person,1,spider,wheels,spider,1,1,1,1,3.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,f
GXGSFD,AI,1,spider,wheels,spider,1,1,1,1,2.0,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,1,f
P3MYF5,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
ZPHDLT,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,
NSQ3X6,AI,1,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,About once a day,,,1,1,1,1,1,f
P7Md7Y,AI,4,wheels,spider,spider,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a week,1,1,1,1,0,f
NSYUD6,person,4,wheels,spider,wheels,1,1,1,1,1.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
VB2XLF,AI,1,spider,wheels,spider,1,1,1,1,,,Several times a day,,About once a week,1,1,1,1,1,m
VRHSL4,AI,1,spider,wheels,spider,1,1,1,1,,,Several times a day,,About once a week,1,1,1,1,1,f
DEJDGM,person,2,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Less than once a week,1,1,1,1,1,m
cLWD7X,person,4,wheels,spider,spider,0,1,1,1,0.0,no experience with coding,About once a day,Never,Never,1,1,0,0,0,m
5C4cLF,person,4,wheels,spider,wheels,1,1,1,1,,,Several times a day,,Less than once a week,1,1,1,1,1,m
SQPHC7,person,4,wheels,spider,wheels,1,1,1,1,0.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,f
YMH4W3,AI,4,wheels,spider,wheels,1,0,0,0,,,Less than once a week,,Less than once a week,1,1,1,1,1,f
HUAWBV,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,
AHG2DK,person,4,wheels,spider,wheels,1,1,1,1,2.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,m
VZ53KA,person,4,wheels,spider,wheels,1,1,1,1,4.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,f
PKXKVJ,person,4,wheels,spider,wheels,1,1,1,1,4.0,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,
7GdZTX,AI,4,wheels,spider,wheels,1,1,1,1,,,About once a day,,About once a week,1,1,1,1,1,m
3BCE74,AI,3,wheels,spider,spider,0,0,0,0,,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,0,0,0,0,1,
WYSHT3,AI,4,wheels,spider,wheels,1,1,1,1,1.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,About once a week,1,1,1,1,1,m
5WcVK4,person,3,spider,wheels,spider,1,1,1,1,4.0,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
KE3Z6Z,person,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,About once a week,,Less than once a week,1,1,1,1,1,f
N54WCV,person,3,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,Never,1,1,1,1,1,f
G64NX2,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
K73D3S,person,3,spider,wheels,spider,1,1,0,0,6.0,no experience with coding,Less than once a week,About once a day,Several times a day,1,1,1,1,1,f
QEQAZZ,AI,2,wheels,spider,wheels,0,0,0,0,,,,,,1,1,0,0,1,f
7DNGNA,person,4,wheels,spider,wheels,1,1,1,1,0.0,coding class at school,About once a day,Never,Never,1,1,1,1,1,m
FW72XL,AI,4,wheels,spider,wheels,1,1,1,1,1.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,,Several times a day,1,1,1,1,1,f
WPK4FZ,AI,4,wheels,spider,wheels,1,0,0,1,1.0,no experience with coding,About once a day,About once a day,Several times a day,1,1,1,1,1,m
cYHPQ5,AI,3,spider,wheels,wheels,1,1,1,1,1.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,About once a day,1,1,1,1,0,m
5CZXYC,AI,4,wheels,spider,wheels,1,1,1,1,2.0,no experience with coding,Less than once a week,About once a week,,1,1,1,1,1,m
KRLDTE,person,4,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,,,1,1,1,1,1,m
CAECUF,AI,2,wheels,spider,wheels,1,1,1,1,1.0,,About once a day,,About once a day,1,1,1,1,1,f
7UQ674,AI,1,wheels,twinkle,wheels,0,0,1,1,2.0,no experience with coding,About once a day,About once a week,About once a day,0,0,0,0,0,f
BdHTN4,person,1,spider,wheels,spider,1,0,0,1,0.0,no experience with coding,Several times a day,,Less than once a week,1,1,1,1,1,m
ERC7YR,person,1,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,f
Q5ZTWH,person,1,spider,wheels,spider,1,1,1,1,,,Several times a day,,Several times a day,1,1,1,1,1,m
4VCRcA,person,2,wheels,spider,wheels,1,1,1,0,2.0,no experience with coding,Never,Never,Never,1,1,1,1,1,f
NN3UDW,AI,4,wheels,spider,wheels,1,1,1,1,2.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
Y324M2,person,3,spider,wheels,wheels,1,1,1,1,,,About once a day,,Several times a day,1,1,1,1,0,m
J6DT2K,person,4,twinkle,spider,wheels,1,1,1,1,,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,0,1,1,0,1,m
5CETCY,AI,2,wheels,spider,spider,1,1,1,1,10.0,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0,m
K7GP2d,AI,2,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,About once a day,,Never,1,1,1,1,1,f
MQ5dCM,AI,3,spider,wheels,wheels,1,1,1,1,3.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
CACCCP,AI,1,spider,wheels,spider,1,1,1,1,1.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,,Less than once a week,1,1,1,1,1,m
K7YdLP,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
3BMEHF,person,3,spider,wheels,spider,1,0,0,0,3.0,no experience with coding,Never,About once a week,Never,1,1,1,1,1,m
Kc6RMY,AI,4,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,m
CYHPFL,AI,1,spider,wheels,wheels,1,1,1,1,7.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,0,m
6FL4TM,AI,4,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
cE3WXc,person,3,wheels,twinkle,spider,1,1,1,0,1.0,no experience with coding,Less than once a week,,Less than once a week,0,0,1,0,1,m
FBSJTZ,person,4,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,,Less than once a week,1,1,1,1,1,f
DHLRUE,AI,2,wheels,spider,wheels,1,1,1,1,0.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,,,1,1,1,1,1,m
USPAM2,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,,,,1,1,1,1,1,f
KMUTBA,person,1,spider,wheels,wheels,1,1,1,1,0.0,no experience with coding,,,,1,1,1,1,0,f
BDKZEN,person,1,spider,wheels,spider,1,1,1,1,,,Several times a day,,Less than once a week,1,1,1,1,1,m
2MNUcZ,AI,2,wheels,spider,spider,1,1,1,1,6.0,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
EHPQXP,AI,3,spider,wheels,spider,1,0,0,0,3.0,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,f
NY2cZA,AI,4,wheels,spider,wheels,1,1,1,1,4.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,About once a week,1,1,1,1,1,f
UQYP3K,person,2,wheels,spider,spider,1,1,1,1,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,0,f
XC7SMU,person,4,wheels,spider,wheels,1,1,1,1,4.0,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1,m
27NPYH,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,f
PB3S3Y,AI,2,spider,wheels,spider,1,1,0,0,2.0,no experience with coding,Several times a day,Several times a day,Several times a day,0,0,1,0,0,
7R4XY2,person,3,spider,wheels,spider,0,1,1,0,0.0,no experience with coding,About once a day,Never,Never,1,1,0,0,1,f
XYX3RT,person,1,spider,wheels,spider,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,About once a day,1,1,1,1,1,m
LA3QLT,AI,1,spider,wheels,wheels,1,1,1,1,4.0,"coding class at school,after school programs or camps related to coding",Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
J33Q67,AI,3,spider,wheels,wheels,1,0,0,0,,,Several times a day,,Less than once a week,1,1,1,1,0,m
cMD6FQ,AI,2,wheels,spider,spider,1,1,1,1,3.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,m
BAA7SE,person,4,wheels,spider,spider,0,1,1,0,2.0,no experience with coding,About once a week,,About once a day,1,1,0,0,0,f
A3HVZU,person,1,spider,wheels,spider,1,0,1,1,7.0,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
GE4NBT,AI,3,spider,wheels,wheels,1,1,1,1,,,Several times a day,Never,About once a day,1,1,1,1,0,m
DY7SUJ,AI,3,spider,wheels,wheels,1,1,1,1,1.0,coding class at school,About once a week,Never,Several times a day,1,1,1,1,0,f
5Hd5XN,person,2,wheels,spider,wheels,1,1,1,1,,coding class at school,,,,1,1,1,1,1,m
ZALG7S,person,2,wheels,spider,wheels,1,0,0,0,1.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,f
6RDT55,AI,3,spider,wheels,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,f
KHRJM7,AI,4,wheels,spider,spider,1,1,1,1,4.0,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,m
KU6RG5,person,4,wheels,spider,wheels,1,1,1,1,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,m
MATGdB,person,3,spider,wheels,spider,1,1,1,1,,,,,,1,1,1,1,1,f
CTDG73,AI,3,spider,wheels,spider,1,0,0,0,0.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,m
