child_id,child_gender,child_age_rounded,age_days,age,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,mean_fb,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,age_months,floor_age,va_daily,ss_daily,multiSSexperience
4dR3DM,f,1530,1520,4.161533196,Person,4,wheels,spider,spider,1,0,0,0,0,1,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,0,49.9720551,4,TRUE,TRUE,FALSE
4HBDTF,m,3840,3831,10.48870637,Person,4,wheels,spider,wheels,1,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,,1,1,1,1,1,125.9493047,10,,TRUE,TRUE
,,,2816,7.709787817,Person,3,spider,wheels,spider,1,1,1,1,1,0,after school programs or camps related to coding,Several times a day,,,1,1,1,1,1,92.57980734,7,,,FALSE
4Lc7HB,m,1110,1098,3.006160164,AI,1,spider,wheels,spider,1,0,0,0,0,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,36.09823454,3,TRUE,TRUE,FALSE
4NJCTY,m,1590,1579,4.323066393,Person,2,wheels,spider,wheels,1,1,0,0,0.333333333,,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,51.91175987,4,TRUE,TRUE,
4P2QUV,m,1860,1868,5.11430527,Person,4,wheels,spider,wheels,1,1,1,1,1,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,61.41302561,5,FALSE,FALSE,FALSE
4QcY5E,f,2070,2058,5.63449692,AI,4,wheels,spider,wheels,1,1,0,0,0.333333333,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,1,67.6595325,5,TRUE,FALSE,FALSE
4URBHK,f,5070,5072,13.88637919,AI,2,wheels,spider,wheels,1,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,,1,1,1,1,1,166.7488575,13,,FALSE,FALSE
4UTJ5C,f,4650,4646,12.72005476,AI,2,wheels,spider,spider,1,1,1,1,1,0,after school programs or camps related to coding,Several times a day,Less than once a week,About once a week,1,1,1,1,0,152.7435316,12,FALSE,FALSE,FALSE
4VCRcA,f,2520,2535,6.940451745,Person,2,wheels,spider,wheels,1,1,1,0,0.666666667,2,no experience with coding,Never,Never,Never,1,1,1,1,1,83.34155242,6,FALSE,FALSE,TRUE
4VHdUK,m,5040,5030,13.77138946,AI,4,wheels,spider,wheels,1,1,1,1,1,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1,165.3680508,13,FALSE,FALSE,FALSE
4XE3KX,f,3600,3592,9.834360027,Person,3,spider,wheels,spider,1,1,1,1,1,3,after school programs or camps related to coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,118.0918565,9,TRUE,TRUE,TRUE
543XTU,m,5280,5265,14.41478439,AI,2,wheels,spider,spider,1,1,1,1,1,3,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,0,173.0939935,14,TRUE,TRUE,TRUE
5c3F4C,,,3514,9.620807666,Person,1,spider,wheels,spider,1,1,1,0,0.666666667,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,115.5275011,9,TRUE,TRUE,TRUE
,,,4272,11.69609856,Person,4,wheels,spider,wheels,1,1,1,1,1,,,Several times a day,,,1,1,1,1,1,140.4477759,11,,,
5c5BKL,m,2400,2414,6.6091718,Person,4,wheels,spider,wheels,1,0,0,0,0,0,no experience with coding,Less than once a week,,,1,1,1,1,1,79.36351382,6,,,FALSE
5CETCY,m,5520,5505,15.07186858,AI,2,wheels,spider,spider,1,1,1,1,1,10,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0,180.984318,15,TRUE,TRUE,TRUE
5CZXYC,m,3240,3241,8.873374401,AI,4,wheels,spider,wheels,1,1,1,1,1,2,no experience with coding,Less than once a week,About once a week,,1,1,1,1,1,106.552257,8,,FALSE,TRUE
,,,1630,4.462696783,AI,4,wheels,spider,spider,1,1,1,1,1,0,no experience with coding,About once a day,Never,,1,1,1,1,0,53.58845383,4,,FALSE,FALSE
5EPF77,f,2400,2415,6.611909651,Person,1,spider,wheels,spider,1,1,1,1,1,,coding class at school,About once a week,Never,Never,1,1,1,1,1,79.39639018,6,FALSE,FALSE,
5Hd5XN,m,3930,3706,10.14647502,Person,2,wheels,spider,wheels,1,1,1,1,1,,coding class at school,,,,1,1,1,1,1,121.8397607,10,,,
5HHGcY,m,2640,2631,7.203285421,AI,4,wheels,spider,spider,1,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a week,1,1,1,1,0,86.49768222,7,FALSE,FALSE,FALSE
5MGCBZ,m,4050,4056,11.10472279,AI,2,wheels,spider,wheels,1,1,1,1,1,1,no experience with coding,About once a day,,About once a day,1,1,1,1,1,133.3464839,11,TRUE,,FALSE
5Q24K5,f,1290,1283,3.51266256,Person,2,wheels,spider,wheels,1,0,0,1,0.333333333,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,42.18035967,3,FALSE,FALSE,FALSE
5TDN53,f,1350,1344,3.679671458,AI,4,wheels,spider,wheels,1,1,1,1,1,4,no experience with coding,About once a week,About once a day,About once a week,1,1,1,1,1,44.18581714,3,FALSE,TRUE,TRUE
5WcVK4,f,5160,5161,14.13004791,Person,3,spider,wheels,spider,1,1,1,1,1,4,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,169.6748529,14,TRUE,TRUE,TRUE
