"redcap","age","floor_age","gender","condition","counterbalance","pass_attn1","pass_attn2","test","chose_song_1","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","multiSSexperience"
"oc625",8.67,8,"M","AI",2,1,1,"wheels",1,1,1,1,1,"1",FALSE
"ob401",8.57,8,"M","Person",3,1,1,"spider",1,1,1,1,1,"2",TRUE
"ob400",7.57,7,"M","Person",4,1,1,"wheels",1,1,1,1,1,"2",TRUE
"oc283",8.9,8,"F","AI",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"oc244",8.66,8,"F","Person",2,1,1,"spider",0,1,1,1,1,"0",FALSE
"oc284",8.66,8,"F","AI",3,1,1,"spider",1,1,1,1,1,"0",FALSE
"od275",7.58,7,"F","Person",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"oc875",7.73,7,"F","AI",3,1,1,"spider",1,1,1,1,1,"2",TRUE
"ob123",8.29,8,"M","AI",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"oc554",8.38,8,"F","Person",2,1,1,"wheels",1,1,1,1,1,"0",FALSE
"od312",5.45,5,"M","Person",2,1,1,"wheels",1,1,1,1,1,"1",FALSE
"oc894",8.25,8,"M","AI",1,1,1,"spider",1,1,1,1,1,"5",TRUE
"od313",3.29,3,"F","Person",4,1,1,"spider",0,0,0,0,0,"1",FALSE
"oc301",7.09,7,"M","Person",3,1,1,"spider",1,1,1,1,1,"0",FALSE
"od299",7.35,7,"F","Person",3,1,1,"spider",1,1,1,1,1,"0",FALSE
"od320",7.09,7,"M","Person",3,1,1,"spider",1,1,1,1,1,"3",TRUE
"od164",8.94,8,"F","Person",4,1,1,"wheels",1,1,1,1,1,"5",TRUE
"oc888",7.86,7,"M","AI",3,1,1,"spider",1,1,1,1,1,"1",FALSE
"oc551",7.94,7,"F","Person",2,1,1,"wheels",1,1,1,1,1,"0",FALSE
"ob626",3.35,3,"M","Person",2,1,1,"spider",0,0,0,0,0,"0",FALSE
"ob257",6.53,6,"F","AI",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"ob495",5.11,5,"F","AI",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"od208",5.43,5,"M","AI",2,1,1,"wheels",1,1,1,0,0.666666666666667,"1",FALSE
"oc816",3.83,3,"F","Person",1,1,1,"wheels",0,0,1,1,0.666666666666667,"2",TRUE
"ob782",6.71,6,"F","Person",4,1,1,"wheels",1,1,1,1,1,"1",FALSE
"od044",8.79,8,"F","AI",2,1,1,"spider",0,1,1,1,1,"2",TRUE
"od018",8.12,8,"F","AI",4,1,1,"wheels",1,1,1,1,1,"3",TRUE
"oc071",6.54,6,"M","AI",2,1,1,"wheels",1,1,1,1,1,"0",FALSE
"ob016",6.69,6,"F","AI",1,1,1,"spider",1,1,0,1,0.666666666666667,"2",TRUE
"od061",8.3,8,"F","Person",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"ob615",6.71,6,"F","Person",2,1,1,"wheels",1,1,1,1,1,"5",TRUE
"od004",3.73,3,"M","AI",4,1,1,"wheels",1,1,0,1,0.666666666666667,"1",FALSE
"ob033",6.89,6,"M","AI",3,1,1,"spider",1,1,1,1,1,"0",FALSE
"oc959",3.86,3,"M","Person",2,1,1,"wheels",1,0,1,0,0.333333333333333,"0",FALSE
"od174",3.2,3,"M","AI",3,1,1,"spider",1,0,1,1,0.666666666666667,"0",FALSE
"od261",3.35,3,"F","Person",3,1,1,"spider",1,0,0,0,0,"2",TRUE
"od161",3.62,3,"M","AI",2,1,1,"wheels",1,0,0,0,0,"3",TRUE
"ob476",3.54,3,"M","Person",1,1,1,"spider",1,0,0,0,0,"0",FALSE
"od383",3.05,3,"F","AI",4,1,1,"spider",0,0,1,0,0.333333333333333,"2",TRUE
"ob420",3.39,3,"F","AI",4,1,1,"spider",0,0,0,1,0.333333333333333,"2",TRUE
"ob209",7.12,7,"F","AI",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"od392",3.5,3,"M","AI",3,1,1,"spider",1,1,1,0,0.666666666666667,"1",FALSE
"od394",3.59,3,"F","Person",3,1,1,"spider",1,1,0,0,0.333333333333333,"0",FALSE
