"","child_id","child_age_rounded","child_gender"
"188","J7d7Ed",4560,"m"
"189","6LXAJD",4350,"f"
"190","FEYCW6",4410,"m"
"191","W3c3ZK",5580,"m"
"192","BDKZEN",4050,"m"
"193","ZQ3TTU",4710,"m"
"194","XYX3RT",4680,"m"
"195","JKQG2U",4740,"f"
"196","VX7XXc",5040,"m"
"197","26TBKA",4080,"m"
"198","VMHNQA",4350,"f"
"199","cYHPQ5",4140,"m"
"200","KLdCX3",4260,"m"
"201","SL5H56",4260,"f"
"202","2CKBJK",4050,"m"
"203","P7Md7Y",4200,"f"
"204","VJ5H2T",5160,"o"
"205","B47FdD",3990,"m"
"206","J6DT2K",4560,"m"
"207","Vc73T7",4110,"m"
"208","2D2Pd2",5190,"f"
"209","AHG2DK",5700,"m"
"210","ERC7YR",3870,"f"
"211","QCPV75",4500,"m"
"212","CTJFJ4",4950,"m"
"213","FQNNUZ",5130,"f"
"214","J6GS2X",5640,"m"
"215","c3dQ5P",3720,"m"
"216","AVEH25",5070,"f"
"217","HMdQVZ",3870,"m"
"218","FBSJTZ",5820,"f"
"219","DHLRUE",4560,"m"
"220","CRAcZd",5430,"f"
"221","TDSRAc",4770,"f"
"222","RV46G2",4260,"m"
"223","2UMdLC",4170,"m"
"224","c53NTX",3870,"m"
"225","G5dAEK",4230,"m"
"226","G36QUX",3840,"m"
"227","Ddd43L",4500,"f"
"228","2MNUcZ",5460,"f"
"229","NSYUD6",3930,"f"
"230","F7J6RM",4620,"m"
"231","XKdc35",4170,"f"
"232","2HPcJ3",4980,"m"
"233","LN6TPF",4350,"f"
"234","5WcVK4",5160,"f"
"235","4BAHDN",3780,"m"
"236","cFCZPK",4950,"m"
"237","NKAPDd",5520,"m"
"238","H5HUVK",5250,"f"
"239","M6LdNB",4620,"m"
"240","5MGCBZ",4050,"m"
"241","ECZKcH",3090,"f"
"242","FXKXTL",4290,"f"
"243","4HBDTF",3840,"m"
"244","d2RNVQ",3090,"f"
"245","AZQZZJ",3480,"f"
"246","KYNWJ7",3420,"f"
"247","PWRD2W",3240,"f"
"248","THHUXY",2790,"f"
"249","CcXK5V",3630,"f"
"250","226DPJ",3870,"m"
"251","CT6TE2",2280,"f"
"252","dJUH64",2610,"m"
"253","MM7MHD",2910,"m"
"254","TRMZMN",2400,"f"
"255","DUJVEL",3150,"m"
"256","GE4NBT",5640,"m"
"257","XdAMGC",2550,"f"
"258","GLQULU",2640,"f"
"259","ADcDUM",3330,"m"
"260","dB3YRD",4290,"f"
"261","CACCCP",2880,"m"
"262","BJZGD2",3270,"f"
"263","SQPHC7",2310,"f"
"264","Kc6RMY",3330,"m"
"265","PBLZWN",5190,"f"
"266","VZ53KA",4110,"f"
"267","WUBBEK",2640,"m"
"268","XS57KJ",2190,"m"
"269","d3R2U4",3060,"f"
"270","RCAU4S",1980,"f"
"271","UGcYTS",2970,"f"
"272","LXRCcF",1980,"f"
"273","6WDXTc",2160,"m"
"274","37LAQX",2910,"m"
"275","YLJTKQ",1950,"f"
"276","KPRDT6",3480,"m"
"277","BVA42Y",1950,"f"
"278","KBQDD5",2700,"m"
"279","4QcY5E",2070,"f"
"280","4d2CPG",3000,"m"
"281","SDF2YR",2490,"m"
"282","7YdT45",2550,"f"
"283","ZALG7S",3570,"f"
"284","FJZ4BR",4530,"m"
"285","BZVQUN",3840,"f"
"286","BNXB5D",2640,"f"
"287","NDM42C",2220,"f"
"288","YM2G5C",1380,"f"
"289","747d4U",2040,"f"
"290","VEYGC2",3840,"m"
"291","6RDT55",4920,"f"
"292","c6dNFC",1500,"f"
"293","FW72XL",3150,"f"
"294","DY7SUJ",3870,"f"
"295","VdM6UX",2880,"m"
"296","4XE3KX",3600,"f"
"297","QdRUdL",4170,"m"
"298","VGGS3V",3480,"m"
"299","3STC7T",1500,"f"
"300","7W2BAS",3000,"f"
"301","CPcQFY",4470,"f"
"302","K6FCZV",3540,"m"
"303","QMLL2R",1530,"m"
"304","3ADQJK",1170,"m"
"305","YPMRcS",1710,"f"
"306","K7YdLP",5640,"f"
"307","DBFU24",4290,"f"
"308","KE6McV",4020,"f"
"309","Y5C3MY",2880,"m"
"310","VdA4LW",1290,"f"
"311","SCHcHE",3450,"m"
"312","GFRFTR",1920,"f"
"313","AF6JVZ",2490,"m"
"314","dADL67",1890,"f"
"315","4NJCTY",1590,"m"
"316","7JUJPC",2790,"m"
"317","Y2M3FQ",4230,"f"
"318","WDY6c7",2550,"f"
"319","C5HA27",4620,"f"
"320","PU2VcV",4620,"o"
"321","YFE323",2040,"m"
"322","GXJBPE",1170,"m"
"323","VRRTXM",3540,"f"
"324","65LC6N",1200,"m"
"325","EHPQXP",2670,"f"
"326","KN4QXT",1890,"m"
"327","5Q24K5",1290,"f"
"328","AEVA5R",2610,"f"
"329","PZ5DPJ",1170,"f"
"330","RL56d4",3060,"m"
"331","VRHSL4",3450,"f"
"332","SEAHSd",2100,"m"
"333","NSQ3X6",3420,"f"
"334","4VHdUK",5040,"m"
"335","AS4P67",2040,"f"
"336","Xd7JWC",2010,"m"
"337","PcR4BM",1980,"m"
"338","UPTL7Y",3720,"m"
"339","DHZ3NG",3600,"f"
"340","YLAdC4",1830,"f"
"341","PRPWZF",2220,"f"
"342","NMW7J7",1500,"f"
"343","MBCA5E",2730,"f"
"344","NPVQNQ",1740,"m"
"345","NEQP2Q",1860,"f"
"346","44WWDL",1890,"f"
"347","dMcX57",1650,"m"
"348","P2JCDF",1740,"m"
"349","XEKPSB",1980,"f"
"350","dJPCR7",2610,"m"
"351","QVDCEG",2760,"f"
"352","TJAT32",1260,"m"
"353","V5REVB",1500,"m"
"354","S7FVQH",2070,"m"
"355","347dJH",1800,"f"
"356","SCMMCA",3150,"f"
"357","J33Q67",1440,"m"
"358","PK2YGJ",4200,"m"
"359","3G522Y",2460,"f"
"360","W575AK",2790,"f"
"361","WQGT5Y",1200,"m"
"362","d6RFVM",4110,"m"
"363","GYU46J",4140,"f"
"364","2cLdd2",2970,"f"
"365","6FL4TM",2550,"f"
"366","QVSRQC",1980,"f"
"367","DKUY4F",1290,"f"
"368","XAVQXc",2100,"f"
"369","UZG2dX",2940,"m"
"370","KHRJM7",3810,"m"
"371","UAPd65",3060,"m"
"372","3XcSJ2",3810,"f"
"373","dR3ZQW",3240,"m"
"374","LUQK5d",1350,"f"
"375","KE3Z6Z",3810,"f"
"376","FVTKHG",2790,"f"
"377","5HHGcY",2640,"m"
"378","Fc7UHG",3270,"m"
"379","Q4EEd6",2460,"f"
"380","Ddd42B",4590,"m"
"381","cFJCJK",2490,"f"
"382","RL5F7C",1590,"m"
"383","QARBCD",3690,"m"
"384","c2DEY3",1200,"m"
"385","LKJRX3",2970,"f"
"386","7R4XY2",1350,"f"
"387","MR5MAH",2700,"f"
"388","Z6JWFD",3000,"m"
"389","FG5XVM",2550,"m"
"390","BLMEUH",1560,"f"
"391","XC7SMU",4050,"m"
"392","MBSYFS",1740,"m"
"393","2N2GAd",3060,"f"
"394","YPNJKP",1740,"f"
"395","BdHTN4",3420,"m"
"396","4JccdB",2820,"m"
"397","XQS345",1140,"f"
"398","EG4DM2",1680,"m"
"399","ZPAG2A",2400,"f"
"400","NBXP7N",3390,"m"
"401","cE3WXc",1530,"m"
"402","KRLDTE",4320,"m"
"403","NY2cZA",3510,"f"
"404","CUCSW3",2880,"m"
"405","NZKdcH",1530,"f"
"406","5Hd5XN",3720,"m"
"407","JFd4LQ",3120,"f"
"408","V6JVMB",2700,"m"
"409","WGSZS6",1920,"m"
"410","UQYP3K",2160,"f"
"411","P3MYF5",3300,"f"
"412","dcddCF",1770,"f"
"413","CAECUF",3870,"f"
"414","NZcKZR",2490,"m"
"415","3MGZ2D",1620,"f"
"416","Y324M2",4710,"m"
"417","RKKSJM",3030,"f"
"418","4ABCC4",1320,"f"
"419","K73D3S",1860,"f"
"420","5d3X5S",1620,"f"
"421","WDETH6",2670,"m"
"422","dZUWST",2340,"f"
"423","cYGACQ",1890,"f"
"424","dXAQG4",2760,"m"
"425","5WHcX5",3750,"m"
"426","K7R7CV",2550,"f"
"427","FG2KCN",1440,"f"
"428","YHGER6",3660,"f"
"429","XUUFNU",2460,"f"
"430","WPK4FZ",2760,"m"
"431","Q4cDH5",2310,"f"
"432","CXMSKS",2730,"f"
"433","EZ6FZQ",1650,"m"
"434","LCDQES",1530,"f"
"435","LKKFPd",2400,"f"
"436","Y4MHXV",2160,"m"
"437","2ZPdLJ",1500,"f"
"438","RC5T3R",3480,"f"
"439","6c4MZT",2850,"f"
"440","2ZBH3d",4020,"f"
"441","d44R4W",4110,"f"
"442","ZEYSWL",1560,"f"
"443","33NPWV",1380,"m"
"444","YMH4W3",1650,"f"
"445","PXBcNU",1500,"m"
"446","C2J3Kd",1350,"f"
"447","7UQ674",1200,"f"
"448","dJZ5QE",2850,"f"
"449","H3HBTJ",1380,"f"
"450","AEL3EQ",1200,"m"
"451","3BMEHF",2130,"m"
"452","HBWDcR",3210,"m"
"453","ARMW2Y",3900,"m"
"454","KMUTBA",2790,"f"
"455","SCHcHE",3420,"m"
"456","PXXPWV",2010,"m"
"457","GCCDGU",1200,"f"
"458","7EBDYc",3270,"f"
"459","4P2QUV",1860,"m"
"460","Z6D7dB",2220,"f"
"461","75ZW26",1620,"m"
"462","BC76CA",3780,"m"
"463","WMJVGR",3000,"m"
"464","dVMXCc",1770,"f"
"465","d5Ud2c",1920,"f"
"466","4VCRcA",2520,"f"
"467","CQKHMP",4980,"f"
"468","QRZ4QE",1530,"f"
"469","EFYJWW",2010,"f"
"470","LRAUYL",2010,"f"
"471","AWZXWB",1290,"f"
"472","R27BW6",5130,"m"
"473","PHK3XR",2610,"f"
"474","N4N6Q2",1890,"m"
"475","YFLMKE",2490,"m"
"476","5c5BKL",2400,"m"
"477","VDGZL2",1680,"m"
"478","cMD6FQ",5220,"m"
"479","GXGSFD",5640,"f"
"480","SJQQ2J",5130,"f"
"481","5WN27N",5250,"f"
"482","P3EcYE",5130,"f"
"483","AVEH25",5460,"f"
"484","MLH6HJ",5610,"f"
"485","42LZDc",5280,"f"
"486","FFZF7X",5160,"f"
"487","LRCNHV",5700,"m"
"488","F5REDH",5520,"m"
"489","7GdZTX",5460,"m"
"490","D7cM6P",5790,"f"
"491","JE64ZK",5460,"m"
"492","2dBUQX",5310,"f"
"493","Yd7WPT",5250,"f"
"494","735EB3",5460,"f"
"495","cG6dWL",5430,"m"
"496","ENUBED",5130,"m"
"497","J4S4Nd",5310,"f"
"498","RQXQ37",5610,"f"
"499","TDYH5c",5250,"f"
"500","H5HUVK",5520,"f"
"501","A3HVZU",5490,"m"
"502","Q5ZTWH",5130,"m"
"503","CPLE3C",5220,"m"
"504","VdRXdD",1350,"f"
"505","DGH6Ld",1440,"f"
"506","KTLJTX",1140,"f"
"507","5A2Y2B",1170,"f"
"508","GRLVFF",1230,"m"
"509","4Lc7HB",1110,"m"
"510","5TDN53",1350,"f"
"511","F5QMEJ",1320,"m"
"512","KU6RG5",2460,"m"
"513","B5SScH",2520,"f"
"514","XFMJ2D",2400,"m"
"515","XNAGCD",2310,"f"
"516","CTDG73",2490,"m"
"517","GQYEcF",2340,"f"
"518","DTXJAD",2400,"m"
"519","5EPF77",2400,"f"
"520","RBWAXG",2370,"f"
"521","NA75A3",1320,"f"
"522","ZFASAN",1260,"m"
"523","UPcFPQ",1170,"f"
