age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
3293,AI,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Less than once a week,About once a week,About once a week,1,1,1,1,1
5075,Person,4,wheels,spider,wheels,1,1,1,1,0,coding class at school,About once a day,Never,Never,1,1,1,1,1
3278,Person,2,wheels,spider,wheels,1,1,1,1,0,no experience with coding,NA,NA,NA,1,1,1,1,1
5193,AI,4,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,About once a week,1,1,1,1,1
5662,AI,2,wheels,spider,wheels,1,0,1,1,3,coding class at school,Several times a day,NA,About once a day,1,1,1,1,1
2803,Person,3,spider,wheels,spider,1,1,1,1,NA,no experience with coding,Several times a day,About once a day,NA,1,1,1,1,1
2988,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Less than once a week,NA,1,1,1,1,1
2551,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
1121,Person,4,wheels,spider,spider,1,1,0,0,5,no experience with coding,Several times a day,About once a day,NA,1,1,1,1,0
3319,AI,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1
1215,Person,3,spider,wheels,spider,1,0,1,0,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,1
2610,AI,3,spider,wheels,spider,1,0,0,0,2,no experience with coding,About once a day,About once a week,NA,1,1,1,1,1
2491,AI,1,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Never,Never,1,1,1,1,1
5710,Person,4,wheels,spider,wheels,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
3639,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
3900,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
2034,AI,3,spider,wheels,spider,1,0,0,0,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,NA,1,1,1,1,1
5078,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,About once a day,About once a day,About once a day,1,1,1,1,1
5078,AI,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
3476,Person,3,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1
3977,AI,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,About once a day,Several times a day,1,1,1,1,1
2523,Person,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1
5042,AI,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a week,NA,About once a week,1,1,1,1,1
3776,Person,2,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1
3408,Person,1,spider,wheels,spider,1,0,0,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
4059,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
3256,AI,4,wheels,spider,wheels,1,1,1,1,NA,no experience with coding,About once a day,NA,Several times a day,1,1,1,1,1
1548,AI,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,Several times a day,1,1,1,1,1
2628,AI,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
