"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"PKXKVJ",3179,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"Several times a day"
"PRPWZF",2231,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a day"
"PU2VcV",4608,"o","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"PWRD2W",3252,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"PXBcNU",1495,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,0,0,NA,NA
"PXXPWV",2010,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"PZ5DPJ",1178,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,4,"About once a day"
"PcR4BM",1982,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,3,NA
"Q4EEd6",2445,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"Q4cDH5",2301,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Less than once a week"
"QARBCD",3703,"m","AI",2,"wheels","spider",1,1,"wheels",1,0,0,0,0,2,"Never"
"QDLBWP",4485,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Less than once a week"
"QE3QBc",3284,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Several times a day"
"QMLL2R",1524,"m","Person",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,2,"Less than once a week"
"QRZ4QE",1530,"f","Person",2,"wheels","spider",1,1,"spider",0,1,1,1,1,1,"Never"
"QTNWUY",2963,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"Less than once a week"
"QVDCEG",2768,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,3,"Several times a day"
"QVSRQC",1981,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,NA,NA
"QZ77BB",1515,"m","Person",1,"spider","wheels",1,1,"wheels",0,1,1,1,0,0,"Never"
"QdRUdL",4168,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Less than once a week"
"R27BW6",5122,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"RBWAXG",2368,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"RC5T3R",3480,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"RCAU4S",1993,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Several times a day"
"RF7BV6",3028,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,0,1,0,5,"Several times a day"
"RHTVQE",5013,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Less than once a week"
"RJ5WYZ",1288,"f","Person",2,"wheels","spider",1,1,"spider",0,1,1,1,1,0,"Never"
"RKKSJM",3019,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a week"
"RL56d4",3054,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Never"
"RL5F7C",1578,"m","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,4,"About once a day"
"RPWSSB",2965,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,0,2,NA
"RTVEE7",1572,"m","Person",3,"spider","wheels",1,1,"wheels",0,1,0,0,0,0,NA
"RV46G2",4246,"m","Person",3,"spider","spider",1,0,"spider",1,1,1,0,1,3,"About once a day"
"Rc27L6",5257,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,2,"About once a day"
"S7FVQH",2064,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"SCMMCA",3147,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a day"
"SDF2YR",2482,"m","AI",4,"wheels","twinkle",1,0,"spider",0,1,0,0,0,2,"Several times a day"
"SEAHSd",2102,"m","Person",3,"spider","wheels",1,1,"wheels",0,0,0,1,0,NA,NA
"SHWDdD",5302,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"SL5H56",4245,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"SQPHC7",2303,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"T7C2LP",4943,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"TDSRAc",4766,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"THHUXY",2778,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,0,1,1,"About once a week"
"TJAT32",1258,"m","Person",4,"wheels","spider",1,1,"spider",0,0,0,0,1,3,"Never"
"TRMZMN",2391,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,0,0,0,0,"Never"
"U2YQXC",3873,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"U32dEc",4954,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"Several times a day"
"UAPd65",3070,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,0,1,1,6,"Several times a day"
"UEXRGR",3289,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"UFEZMT",3861,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"UGcYTS",2970,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Several times a day"
"UK5MMG",3720,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,0,3,"Several times a day"
"UKBcFN",4425,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a day"
"UNVGH4",3398,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"UPTL7Y",3706,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Several times a day"
"UPcFPQ",1167,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,0,1,0,1,"Less than once a week"
"UQYP3K",2164,"f","Person",2,"wheels","spider",1,1,"spider",0,1,1,1,1,0,"Never"
"USPAM2",4918,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a day"
"UYRcFH",4640,"f","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,NA,"Less than once a week"
"UZG2dX",2943,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Never"
"V3dN5D",4881,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"V5REVB",1489,"m","Person",4,"wheels","spider",1,1,"spider",0,1,0,0,0,0,"Never"
"V6JVMB",2692,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Less than once a week"
"V6MN6V",3467,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"VAKJdV",2928,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Less than once a week"
"VB2XLF",4100,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"VDGZL2",1673,"m","AI",2,"wheels","spider",1,1,"wheels",1,0,1,1,0,1,"Less than once a week"
"VEYGC2",3825,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,NA
"VGGS3V",3473,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,NA
"VGYA6F",3242,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,0,3,"Several times a day"
"VHTSRV",3378,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,4,"About once a day"
"VR4LYE",4510,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Never"
"VRRTXM",3545,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"VVcSLZ",1157,"m","AI",3,"spider","twinkle",1,0,"spider",1,1,0,0,0,2,"About once a day"
"VX7XXc",5055,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,5,"About once a day"
"VZ53KA",4123,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"Several times a day"
"Vc73T7",4112,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,8,"Several times a day"
"VdA4LW",1289,"f","AI",2,"twinkle","twinkle",0,0,"wheels",1,1,0,1,0,3,"Less than once a week"
"VdM6UX",2886,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Never"
"VdRXdD",1359,"f","AI",1,"spider","wheels",1,1,"wheels",0,0,0,0,0,1,"About once a week"
"W3c3ZK",5583,"m","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,NA,NA
"W575AK",2793,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"WDETH6",2665,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Several times a day"
"WDNHcd",3998,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Less than once a week"
"WDY6c7",2556,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a day"
"WMJVGR",3001,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,0,2,"Less than once a week"
"WPK4FZ",2764,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,1,1,"About once a day"
"WQGT5Y",1200,"m","AI",1,"spider","wheels",1,1,"wheels",0,1,0,0,0,0,"Never"
"WQU6QW",5181,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,6,"About once a day"
"WUBBEK",2652,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,0,1,3,"Never"
"WUCdQ6",4825,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,12,"Several times a day"
"WYSHT3",4971,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a week"
"X3U2KL",3302,"m","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,2,"About once a day"
"XAVQXc",2106,"f","Person",1,"spider","wheels",1,1,"wheels",0,1,0,0,1,1,"Never"
"XC7SMU",4044,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"XEKPSB",1981,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"XFMJ2D",2403,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"XKdc35",4178,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Less than once a week"
"XNAGCD",2297,"f","Person",3,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"Less than once a week"
"XQJNFQ",3503,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a week"
"XQS345",1153,"f","Person",2,"wheels","spider",1,1,"spider",0,1,0,1,0,0,"Never"
"XQc656",2491,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Never"
"XS57KJ",2181,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a week"
"XUUFNU",2469,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"XUYCHN",1176,"f","AI",2,"wheels","twinkle",1,0,"wheels",1,1,1,0,0,2,"Never"
"XYX3RT",4679,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Less than once a week"
"Xd7JWC",2006,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a week"
"XdAMGC",2537,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"Y2M3FQ",4226,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"About once a day"
"Y324M2",4710,"m","Person",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,NA,NA
"Y4MHXV",2164,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"Y5C3MY",2874,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,6,"About once a day"
"YAEUF5",5681,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Never"
"YFE323",2052,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,4,"About once a week"
"YFLMKE",2486,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"YHGER6",3660,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"YKUEcM",4177,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"YKVL6Y",4027,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a week"
"YLAdC4",1838,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Never"
"YLJTKQ",1954,"f","AI",2,"wheels","spider",1,1,"wheels",1,0,1,1,1,0,"Never"
"YM2G5C",1370,"f","Person",2,"wheels","spider",1,1,"spider",0,1,0,0,0,1,NA
"YMH4W3",1638,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"YPMRcS",1715,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,0,0,0,"Never"
"YPNJKP",1734,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"YQXHAZ",1266,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,0,0,1,0,NA
"YSMZLG",4521,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"Z46DHN",4138,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,5,"Several times a day"
"Z6D7dB",2228,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"Z6JWFD",2986,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"ZADALH",3630,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a day"
"ZEYSWL",1555,"f","AI",1,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Never"
"ZFASAN",1259,"m","AI",3,"spider","wheels",1,1,"wheels",0,0,1,0,0,2,"About once a week"
"ZP3B3N",1100,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,1,NA,"Less than once a week"
"ZPAG2A",2397,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a week"
"ZPHDLT",3055,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,0,NA,"About once a week"
"ZQ3TTU",4721,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"ZU2PLS",3284,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"ZYPLRK",3658,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,0,3,"Several times a day"
"ZdWJU6",1209,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,4,"Several times a day"
"c2DEY3",1199,"m","AI",1,"spider","wheels",1,1,"wheels",0,1,0,0,0,0,NA
"c3dQ5P",3713,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,5,"Several times a day"
"c53NTX",3866,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,5,"Several times a day"
"c6dNFC",1508,"f","Person",3,"spider","wheels",1,1,"spider",1,0,1,1,0,3,"About once a day"
"cE3WXc",1529,"m","Person",3,"wheels","twinkle",0,0,"spider",1,1,1,1,0,1,NA
"cFCZPK",4964,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"cFJCJK",2499,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,5,"Several times a day"
"cKNVRc",1773,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a week"
"cLWD7X",1265,"m","Person",4,"wheels","spider",1,1,"spider",0,0,1,1,1,0,"Never"
"cMD6FQ",4913,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a day"
"cX2D7c",4420,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,7,"Several times a day"
"cYGACQ",1881,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Less than once a week"
"cYHPQ5",4152,"m","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,1,"About once a day"
"cZVLcN",2975,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"d3R2U4",3075,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"d44R4W",4110,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,NA
"d5Ud2c",1908,"f","Person",2,"wheels","spider",1,1,"spider",0,1,1,1,1,2,"Less than once a week"
"d6RFVM",4109,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"Never"
"dADL67",1893,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"dB3YRD",4294,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,NA
"dJPCR7",2596,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Several times a day"
"dJUH64",2620,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a week"
"dJZ5QE",2836,"f","Person",2,"wheels","spider",1,1,"spider",0,1,1,1,1,3,"About once a day"
"dMcX57",1664,"m","Person",1,"spider","wheels",1,1,"wheels",0,0,1,1,1,1,"Several times a day"
"dR3ZQW",3234,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a day"
"dVMXCc",1758,"f","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,2,"Never"
"dXAQG4",2760,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a week"
"dZUWST",2354,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,0,1,1,"Less than once a week"
"dcddCF",1777,"f","Person",1,"spider","wheels",1,1,"wheels",0,1,1,1,1,NA,"About once a day"
