"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"5c5BKL",2414,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,0,NA
"5d3X5S",1630,"f","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,0,"Never"
"65LC6N",1189,"m","Person",1,"spider","twinkle",1,0,"spider",1,0,0,0,1,3,"About once a day"
"6FL4TM",2536,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"Several times a day"
"6LXAJD",4342,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Less than once a week"
"6P4c2V",3540,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"6RDT55",4924,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,3,"Several times a day"
"6RYcKQ",1250,"f","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,0,0,NA
"6S42XL",3479,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"Several times a day"
"6VQ5NV",3335,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"Less than once a week"
"6WDXTc",2157,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"6c4MZT",2838,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,4,"About once a day"
"735EB3",5248,"f","AI",1,"spider","wheels",1,1,"wheels",0,1,0,1,1,1,"About once a day"
"747d4U",2033,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Never"
"75ZW26",1615,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"775VNH",4878,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"77P6BR",3293,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"7EBDYc",3278,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"7GKV4Y",5662,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,0,1,1,3,NA
"7JUJPC",2803,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"About once a day"
"7R4XY2",1361,"f","Person",3,"spider","wheels",1,1,"spider",1,0,1,1,0,0,"Never"
"7UQ674",1196,"f","AI",1,"wheels","twinkle",0,0,"wheels",0,0,0,1,1,2,"About once a week"
"7W2BAS",2988,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Less than once a week"
"7YdT45",2551,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,NA
"A5ZcC2",1121,"m","Person",3,"spider","wheels",1,1,"wheels",0,0,0,0,0,4,"About once a day"
"AEL3EQ",1215,"m","Person",3,"spider","wheels",1,1,"spider",1,1,0,1,0,0,NA
"AEVA5R",2610,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"About once a week"
"AF6JVZ",2491,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"ALGACP",3639,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Less than once a week"
"ARMW2Y",3900,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"AS4P67",2034,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"Never"
"AVEH25",5078,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"About once a day"
"AWZXWB",1301,"f","Person",1,"spider","wheels",1,1,"wheels",0,0,0,0,0,NA,NA
"AZQZZJ",3476,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"B47FdD",3977,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a day"
"B5SScH",2523,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Several times a day"
"B7TKT6",5042,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"BAA7SE",2305,"f","Person",4,"wheels","spider",1,1,"spider",0,0,1,1,0,2,NA
"BC76CA",3776,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"BDKZEN",4059,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"BJZGD2",3256,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"BLMEUH",1548,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"BNXB5D",2628,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"BVA42Y",1954,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,1,"About once a week"
"BZVQUN",3852,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,6,"Several times a day"
"BdHTN4",3408,"m","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,1,0,NA
"C2J3Kd",1357,"f","AI",2,"wheels","spider",1,1,"spider",0,1,0,0,0,0,"Never"
"C2PTE3",1372,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,0,0,0,NA,NA
"C5HA27",4608,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,1,1,"Several times a day"
"CACCCP",2895,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,NA
"CAECUF",3871,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,NA
"CFGJVV",1134,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,0,0,1,2,"Several times a day"
"CFZAdK",1232,"m","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,1,"About once a week"
"CPcQFY",4478,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Several times a day"
"CQKHMP",4993,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"CR3XRZ",3757,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,0,0,3,"Several times a day"
"CT6TE2",2281,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Several times a day"
"CTDG73",2492,"m","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Never"
"CTJFJ4",4937,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"Several times a day"
"CUCSW3",2875,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"CXMSKS",2735,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,5,"About once a day"
"CYHPFL",4940,"m","AI",1,"spider","wheels",1,1,"wheels",0,1,1,1,1,7,"Several times a day"
"CcXK5V",3622,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,4,"Several times a day"
"DBFU24",4277,"f","Person",3,"spider","wheels",1,1,"spider",1,1,0,0,1,2,"Never"
"DEH3SW",1225,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,0,0,1,2,"About once a day"
"DHZ3NG",3612,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,5,"Several times a day"
"DJKFNX",3609,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"DKUY4F",1297,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,0,1,"About once a day"
"DMX5NS",2618,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a week"
"DRTVFR",2200,"f","Person",1,"spider","wheels",1,1,"spider",1,0,1,1,1,NA,"Several times a day"
"DTXJAD",2410,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,0,0,1,1,"Never"
"DUJVEL",3157,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"DY7SUJ",3862,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,1,"Never"
"DZEEEQ",1152,"m","Person",1,"spider","wheels",1,1,"spider",1,0,0,1,0,0,"Never"
"Ddd43L",4488,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"E5EL7R",5522,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a week"
"E5VGcY",4308,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"ECZKcH",3092,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"EFYJWW",2024,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"About once a day"
"EFdd5c",3448,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"About once a day"
"EG4DM2",1675,"m","AI",4,"wheels","spider",1,1,"spider",0,0,1,1,1,0,"Never"
"EHPQXP",2681,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,3,"About once a day"
"EKACME",4748,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"EM566H",3486,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"About once a day"
"ERC7YR",3875,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"EZ6FZQ",1659,"m","AI",4,"wheels","spider",1,1,"wheels",1,0,0,0,0,2,"About once a day"
"EcQK3N",5137,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,0,1,"Several times a day"
"F5QMEJ",1332,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,0,NA,"Less than once a week"
"F7J6RM",4631,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"FEYCW6",4408,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,8,"Several times a day"
"FG2KCN",1442,"f","AI",1,"spider","wheels",1,1,"wheels",0,0,1,1,1,0,"Never"
"FG3c3c",1593,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"Never"
"FG5XVM",2561,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"About once a day"
"FJZ4BR",4532,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,6,"Several times a day"
"FQNNUZ",5144,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,4,"Several times a day"
"FVTKHG",2796,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"FW72XL",3143,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,NA
"FXKXTL",4283,"f","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,1,"Less than once a week"
